TOP.5fd02058.00042151	START
TOP.5fd02058.00042151	user_options->stdout_flag	0
TOP.5fd02058.00042151	user_options->usage	0
TOP.5fd02058.00042151	user_options->username	0
TOP.5fd02058.00042151	user_options->veracrypt_pim_start	485
TOP.5fd02058.00042151	user_options->veracrypt_pim_stop	485
TOP.5fd02058.00042151	user_options->version	0
TOP.5fd02058.00042151	user_options->workload_profile	2
TOP.5fd02058.00042151	user_options->brain_client	0
TOP.5fd02058.00042151	user_options->brain_client_features	2
TOP.5fd02058.00042151	user_options->brain_server	0
TOP.5fd02058.00042151	user_options->brain_server_timer	300
TOP.5fd02058.00042151	user_options->brain_port	6863
TOP.5fd02058.00042151	user_options->brain_session	0
TOP.5fd02058.00042151	proc_start	1607475288
TOP.5fd02058.00042151	proc_stop	1607475288
TOP.5fd02058.00042151	STOP
TOP.5fd02063.0005dea2	START
TOP.5fd02063.0005dea2	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fd02063.0005dea2	folder_config->install_dir	.
TOP.5fd02063.0005dea2	folder_config->profile_dir	.
TOP.5fd02063.0005dea2	folder_config->session_dir	.
TOP.5fd02063.0005dea2	folder_config->shared_dir	.
TOP.5fd02063.0005dea2	user_options->separator	:
TOP.5fd02063.0005dea2	user_options->custom_charset_1	?l?d?u
TOP.5fd02063.0005dea2	user_options->custom_charset_2	?l?d
TOP.5fd02063.0005dea2	user_options->custom_charset_3	?l?d*!$@_
TOP.5fd02063.0005dea2	user_options->encoding_from	utf-8
TOP.5fd02063.0005dea2	user_options->encoding_to	utf-8
TOP.5fd02063.0005dea2	user_options->rule_buf_l	:
TOP.5fd02063.0005dea2	user_options->rule_buf_r	:
TOP.5fd02063.0005dea2	user_options->session	hashcat
TOP.5fd02063.0005dea2	user_options->limit	0
TOP.5fd02063.0005dea2	user_options->skip	0
TOP.5fd02063.0005dea2	user_options->attack_mode	3
TOP.5fd02063.0005dea2	user_options->benchmark	0
TOP.5fd02063.0005dea2	user_options->benchmark_all	0
TOP.5fd02063.0005dea2	user_options->bitmap_max	18
TOP.5fd02063.0005dea2	user_options->bitmap_min	16
TOP.5fd02063.0005dea2	user_options->debug_mode	0
TOP.5fd02063.0005dea2	user_options->example_hashes	0
TOP.5fd02063.0005dea2	user_options->force	0
TOP.5fd02063.0005dea2	user_options->hwmon_disable	0
TOP.5fd02063.0005dea2	user_options->hwmon_temp_abort	90
TOP.5fd02063.0005dea2	user_options->hash_mode	0
TOP.5fd02063.0005dea2	user_options->hex_charset	0
TOP.5fd02063.0005dea2	user_options->hex_salt	0
TOP.5fd02063.0005dea2	user_options->hex_wordlist	0
TOP.5fd02063.0005dea2	user_options->hook_threads	12
TOP.5fd02063.0005dea2	user_options->increment	1
TOP.5fd02063.0005dea2	user_options->increment_max	256
TOP.5fd02063.0005dea2	user_options->increment_min	1
TOP.5fd02063.0005dea2	user_options->keep_guessing	0
TOP.5fd02063.0005dea2	user_options->kernel_accel	0
TOP.5fd02063.0005dea2	user_options->kernel_loops	0
TOP.5fd02063.0005dea2	user_options->kernel_threads	0
TOP.5fd02063.0005dea2	user_options->keyspace	0
TOP.5fd02063.0005dea2	user_options->left	0
TOP.5fd02063.0005dea2	user_options->logfile_disable	0
TOP.5fd02063.0005dea2	user_options->loopback	0
TOP.5fd02063.0005dea2	user_options->machine_readable	0
TOP.5fd02063.0005dea2	user_options->markov_classic	0
TOP.5fd02063.0005dea2	user_options->markov_disable	0
TOP.5fd02063.0005dea2	user_options->markov_threshold	256
TOP.5fd02063.0005dea2	user_options->backend_info	0
TOP.5fd02063.0005dea2	user_options->backend_vector_width	0
TOP.5fd02063.0005dea2	user_options->optimized_kernel_enable	0
TOP.5fd02063.0005dea2	user_options->outfile_autohex	1
TOP.5fd02063.0005dea2	user_options->outfile_check_timer	5
TOP.5fd02063.0005dea2	user_options->outfile_format	3
TOP.5fd02063.0005dea2	user_options->wordlist_autohex_disable	0
TOP.5fd02063.0005dea2	user_options->potfile_disable	0
TOP.5fd02063.0005dea2	user_options->progress_only	0
TOP.5fd02063.0005dea2	user_options->quiet	0
TOP.5fd02063.0005dea2	user_options->remove	0
TOP.5fd02063.0005dea2	user_options->remove_timer	60
TOP.5fd02063.0005dea2	user_options->restore	0
TOP.5fd02063.0005dea2	user_options->restore_disable	0
TOP.5fd02063.0005dea2	user_options->restore_timer	60
TOP.5fd02063.0005dea2	user_options->rp_files_cnt	0
TOP.5fd02063.0005dea2	user_options->rp_gen	0
TOP.5fd02063.0005dea2	user_options->rp_gen_func_max	4
TOP.5fd02063.0005dea2	user_options->rp_gen_func_min	1
TOP.5fd02063.0005dea2	user_options->rp_gen_seed	0
TOP.5fd02063.0005dea2	user_options->runtime	0
TOP.5fd02063.0005dea2	user_options->scrypt_tmto	0
TOP.5fd02063.0005dea2	user_options->segment_size	33554432
TOP.5fd02063.0005dea2	user_options->self_test_disable	0
TOP.5fd02063.0005dea2	user_options->slow_candidates	0
TOP.5fd02063.0005dea2	user_options->show	0
TOP.5fd02063.0005dea2	user_options->speed_only	0
TOP.5fd02063.0005dea2	user_options->spin_damp	0
TOP.5fd02063.0005dea2	user_options->status	0
TOP.5fd02063.0005dea2	user_options->status_json	0
TOP.5fd02063.0005dea2	user_options->status_timer	10
TOP.5fd02063.0005dea2	user_options->stdout_flag	0
TOP.5fd02063.0005dea2	user_options->usage	0
TOP.5fd02063.0005dea2	user_options->username	0
TOP.5fd02063.0005dea2	user_options->veracrypt_pim_start	485
TOP.5fd02063.0005dea2	user_options->veracrypt_pim_stop	485
TOP.5fd02063.0005dea2	user_options->version	0
TOP.5fd02063.0005dea2	user_options->workload_profile	2
TOP.5fd02063.0005dea2	user_options->brain_client	0
TOP.5fd02063.0005dea2	user_options->brain_client_features	2
TOP.5fd02063.0005dea2	user_options->brain_server	0
TOP.5fd02063.0005dea2	user_options->brain_server_timer	300
TOP.5fd02063.0005dea2	user_options->brain_port	6863
TOP.5fd02063.0005dea2	user_options->brain_session	0
TOP.5fd02063.0005dea2	proc_start	1607475299
TOP.5fd02063.0005dea2	proc_stop	1607475299
TOP.5fd02063.0005dea2	STOP
TOP.5fd02087.000d97d9	START
TOP.5fd02087.000d97d9	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fd02087.000d97d9	folder_config->install_dir	.
TOP.5fd02087.000d97d9	folder_config->profile_dir	.
TOP.5fd02087.000d97d9	folder_config->session_dir	.
TOP.5fd02087.000d97d9	folder_config->shared_dir	.
TOP.5fd02087.000d97d9	user_options->separator	:
TOP.5fd02087.000d97d9	user_options->encoding_from	utf-8
TOP.5fd02087.000d97d9	user_options->encoding_to	utf-8
TOP.5fd02087.000d97d9	user_options->rule_buf_l	:
TOP.5fd02087.000d97d9	user_options->rule_buf_r	:
TOP.5fd02087.000d97d9	user_options->session	hashcat
TOP.5fd02087.000d97d9	user_options->limit	0
TOP.5fd02087.000d97d9	user_options->skip	0
TOP.5fd02087.000d97d9	user_options->attack_mode	3
TOP.5fd02087.000d97d9	user_options->benchmark	0
TOP.5fd02087.000d97d9	user_options->benchmark_all	0
TOP.5fd02087.000d97d9	user_options->bitmap_max	18
TOP.5fd02087.000d97d9	user_options->bitmap_min	16
TOP.5fd02087.000d97d9	user_options->debug_mode	0
TOP.5fd02087.000d97d9	user_options->example_hashes	0
TOP.5fd02087.000d97d9	user_options->force	0
TOP.5fd02087.000d97d9	user_options->hwmon_disable	0
TOP.5fd02087.000d97d9	user_options->hwmon_temp_abort	90
TOP.5fd02087.000d97d9	user_options->hash_mode	0
TOP.5fd02087.000d97d9	user_options->hex_charset	0
TOP.5fd02087.000d97d9	user_options->hex_salt	0
TOP.5fd02087.000d97d9	user_options->hex_wordlist	0
TOP.5fd02087.000d97d9	user_options->hook_threads	12
TOP.5fd02087.000d97d9	user_options->increment	0
TOP.5fd02087.000d97d9	user_options->increment_max	256
TOP.5fd02087.000d97d9	user_options->increment_min	1
TOP.5fd02087.000d97d9	user_options->keep_guessing	0
TOP.5fd02087.000d97d9	user_options->kernel_accel	0
TOP.5fd02087.000d97d9	user_options->kernel_loops	0
TOP.5fd02087.000d97d9	user_options->kernel_threads	0
TOP.5fd02087.000d97d9	user_options->keyspace	0
TOP.5fd02087.000d97d9	user_options->left	0
TOP.5fd02087.000d97d9	user_options->logfile_disable	0
TOP.5fd02087.000d97d9	user_options->loopback	0
TOP.5fd02087.000d97d9	user_options->machine_readable	0
TOP.5fd02087.000d97d9	user_options->markov_classic	0
TOP.5fd02087.000d97d9	user_options->markov_disable	0
TOP.5fd02087.000d97d9	user_options->markov_threshold	256
TOP.5fd02087.000d97d9	user_options->backend_info	0
TOP.5fd02087.000d97d9	user_options->backend_vector_width	0
TOP.5fd02087.000d97d9	user_options->optimized_kernel_enable	0
TOP.5fd02087.000d97d9	user_options->outfile_autohex	1
TOP.5fd02087.000d97d9	user_options->outfile_check_timer	5
TOP.5fd02087.000d97d9	user_options->outfile_format	3
TOP.5fd02087.000d97d9	user_options->wordlist_autohex_disable	0
TOP.5fd02087.000d97d9	user_options->potfile_disable	0
TOP.5fd02087.000d97d9	user_options->progress_only	0
TOP.5fd02087.000d97d9	user_options->quiet	0
TOP.5fd02087.000d97d9	user_options->remove	0
TOP.5fd02087.000d97d9	user_options->remove_timer	60
TOP.5fd02087.000d97d9	user_options->restore	0
TOP.5fd02087.000d97d9	user_options->restore_disable	0
TOP.5fd02087.000d97d9	user_options->restore_timer	60
TOP.5fd02087.000d97d9	user_options->rp_files_cnt	0
TOP.5fd02087.000d97d9	user_options->rp_gen	0
TOP.5fd02087.000d97d9	user_options->rp_gen_func_max	4
TOP.5fd02087.000d97d9	user_options->rp_gen_func_min	1
TOP.5fd02087.000d97d9	user_options->rp_gen_seed	0
TOP.5fd02087.000d97d9	user_options->runtime	0
TOP.5fd02087.000d97d9	user_options->scrypt_tmto	0
TOP.5fd02087.000d97d9	user_options->segment_size	33554432
TOP.5fd02087.000d97d9	user_options->self_test_disable	0
TOP.5fd02087.000d97d9	user_options->slow_candidates	0
TOP.5fd02087.000d97d9	user_options->show	0
TOP.5fd02087.000d97d9	user_options->speed_only	0
TOP.5fd02087.000d97d9	user_options->spin_damp	0
TOP.5fd02087.000d97d9	user_options->status	0
TOP.5fd02087.000d97d9	user_options->status_json	0
TOP.5fd02087.000d97d9	user_options->status_timer	10
TOP.5fd02087.000d97d9	user_options->stdout_flag	0
TOP.5fd02087.000d97d9	user_options->usage	0
TOP.5fd02087.000d97d9	user_options->username	0
TOP.5fd02087.000d97d9	user_options->veracrypt_pim_start	485
TOP.5fd02087.000d97d9	user_options->veracrypt_pim_stop	485
TOP.5fd02087.000d97d9	user_options->version	0
TOP.5fd02087.000d97d9	user_options->workload_profile	2
TOP.5fd02087.000d97d9	user_options->brain_client	0
TOP.5fd02087.000d97d9	user_options->brain_client_features	2
TOP.5fd02087.000d97d9	user_options->brain_server	0
TOP.5fd02087.000d97d9	user_options->brain_server_timer	300
TOP.5fd02087.000d97d9	user_options->brain_port	6863
TOP.5fd02087.000d97d9	user_options->brain_session	0
TOP.5fd02087.000d97d9	proc_start	1607475335
TOP.5fd02087.000d97d9	proc_stop	1607475336
TOP.5fd02087.000d97d9	STOP
TOP.5fd0209e.00043f5b	START
TOP.5fd0209e.00043f5b	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fd0209e.00043f5b	folder_config->install_dir	.
TOP.5fd0209e.00043f5b	folder_config->profile_dir	.
TOP.5fd0209e.00043f5b	folder_config->session_dir	.
TOP.5fd0209e.00043f5b	folder_config->shared_dir	.
TOP.5fd0209e.00043f5b	user_options->separator	:
TOP.5fd0209e.00043f5b	user_options->encoding_from	utf-8
TOP.5fd0209e.00043f5b	user_options->encoding_to	utf-8
TOP.5fd0209e.00043f5b	user_options->rule_buf_l	:
TOP.5fd0209e.00043f5b	user_options->rule_buf_r	:
TOP.5fd0209e.00043f5b	user_options->session	hashcat
TOP.5fd0209e.00043f5b	user_options->limit	0
TOP.5fd0209e.00043f5b	user_options->skip	0
TOP.5fd0209e.00043f5b	user_options->attack_mode	3
TOP.5fd0209e.00043f5b	user_options->benchmark	0
TOP.5fd0209e.00043f5b	user_options->benchmark_all	0
TOP.5fd0209e.00043f5b	user_options->bitmap_max	18
TOP.5fd0209e.00043f5b	user_options->bitmap_min	16
TOP.5fd0209e.00043f5b	user_options->debug_mode	0
TOP.5fd0209e.00043f5b	user_options->example_hashes	0
TOP.5fd0209e.00043f5b	user_options->force	0
TOP.5fd0209e.00043f5b	user_options->hwmon_disable	0
TOP.5fd0209e.00043f5b	user_options->hwmon_temp_abort	90
TOP.5fd0209e.00043f5b	user_options->hash_mode	0
TOP.5fd0209e.00043f5b	user_options->hex_charset	0
TOP.5fd0209e.00043f5b	user_options->hex_salt	0
TOP.5fd0209e.00043f5b	user_options->hex_wordlist	0
TOP.5fd0209e.00043f5b	user_options->hook_threads	12
TOP.5fd0209e.00043f5b	user_options->increment	0
TOP.5fd0209e.00043f5b	user_options->increment_max	256
TOP.5fd0209e.00043f5b	user_options->increment_min	1
TOP.5fd0209e.00043f5b	user_options->keep_guessing	0
TOP.5fd0209e.00043f5b	user_options->kernel_accel	0
TOP.5fd0209e.00043f5b	user_options->kernel_loops	0
TOP.5fd0209e.00043f5b	user_options->kernel_threads	0
TOP.5fd0209e.00043f5b	user_options->keyspace	0
TOP.5fd0209e.00043f5b	user_options->left	0
TOP.5fd0209e.00043f5b	user_options->logfile_disable	0
TOP.5fd0209e.00043f5b	user_options->loopback	0
TOP.5fd0209e.00043f5b	user_options->machine_readable	0
TOP.5fd0209e.00043f5b	user_options->markov_classic	0
TOP.5fd0209e.00043f5b	user_options->markov_disable	0
TOP.5fd0209e.00043f5b	user_options->markov_threshold	256
TOP.5fd0209e.00043f5b	user_options->backend_info	0
TOP.5fd0209e.00043f5b	user_options->backend_vector_width	0
TOP.5fd0209e.00043f5b	user_options->optimized_kernel_enable	0
TOP.5fd0209e.00043f5b	user_options->outfile_autohex	1
TOP.5fd0209e.00043f5b	user_options->outfile_check_timer	5
TOP.5fd0209e.00043f5b	user_options->outfile_format	3
TOP.5fd0209e.00043f5b	user_options->wordlist_autohex_disable	0
TOP.5fd0209e.00043f5b	user_options->potfile_disable	0
TOP.5fd0209e.00043f5b	user_options->progress_only	0
TOP.5fd0209e.00043f5b	user_options->quiet	0
TOP.5fd0209e.00043f5b	user_options->remove	0
TOP.5fd0209e.00043f5b	user_options->remove_timer	60
TOP.5fd0209e.00043f5b	user_options->restore	0
TOP.5fd0209e.00043f5b	user_options->restore_disable	0
TOP.5fd0209e.00043f5b	user_options->restore_timer	60
TOP.5fd0209e.00043f5b	user_options->rp_files_cnt	0
TOP.5fd0209e.00043f5b	user_options->rp_gen	0
TOP.5fd0209e.00043f5b	user_options->rp_gen_func_max	4
TOP.5fd0209e.00043f5b	user_options->rp_gen_func_min	1
TOP.5fd0209e.00043f5b	user_options->rp_gen_seed	0
TOP.5fd0209e.00043f5b	user_options->runtime	0
TOP.5fd0209e.00043f5b	user_options->scrypt_tmto	0
TOP.5fd0209e.00043f5b	user_options->segment_size	33554432
TOP.5fd0209e.00043f5b	user_options->self_test_disable	0
TOP.5fd0209e.00043f5b	user_options->slow_candidates	0
TOP.5fd0209e.00043f5b	user_options->show	0
TOP.5fd0209e.00043f5b	user_options->speed_only	0
TOP.5fd0209e.00043f5b	user_options->spin_damp	0
TOP.5fd0209e.00043f5b	user_options->status	0
TOP.5fd0209e.00043f5b	user_options->status_json	0
TOP.5fd0209e.00043f5b	user_options->status_timer	10
TOP.5fd0209e.00043f5b	user_options->stdout_flag	0
TOP.5fd0209e.00043f5b	user_options->usage	0
TOP.5fd0209e.00043f5b	user_options->username	0
TOP.5fd0209e.00043f5b	user_options->veracrypt_pim_start	485
TOP.5fd0209e.00043f5b	user_options->veracrypt_pim_stop	485
TOP.5fd0209e.00043f5b	user_options->version	0
TOP.5fd0209e.00043f5b	user_options->workload_profile	2
TOP.5fd0209e.00043f5b	user_options->brain_client	0
TOP.5fd0209e.00043f5b	user_options->brain_client_features	2
TOP.5fd0209e.00043f5b	user_options->brain_server	0
TOP.5fd0209e.00043f5b	user_options->brain_server_timer	300
TOP.5fd0209e.00043f5b	user_options->brain_port	6863
TOP.5fd0209e.00043f5b	user_options->brain_session	0
TOP.5fd0209e.00043f5b	hashes->hashfile	.\hash.txt
TOP.5fd0209e.00043f5b	hashes->hashlist_mode	5
TOP.5fd0209e.00043f5b	hashes->hashlist_format	0
TOP.5fd0209e.00043f5b	hashes->hashes_cnt	0
TOP.5fd0209e.00043f5b	hashes->digests_cnt	1
TOP.5fd0209e.00043f5b	hashes->digests_done	0
TOP.5fd0209e.00043f5b	hashes->salts_cnt	1
TOP.5fd0209e.00043f5b	hashes->salts_done	0
TOP.5fd0209e.00043f5b	SUB.5fd020a2.000537b3	START
TOP.5fd0209e.00043f5b	SUB.5fd020a2.000537b3	mask_ctx->mask	?a
TOP.5fd0209e.00043f5b	SUB.5fd020a2.000537b3	runtime_start	1607475362
TOP.5fd0209e.00043f5b	SUB.5fd020a2.000537b3	runtime_stop	1607475362
TOP.5fd0209e.00043f5b	SUB.5fd020a2.000537b3	status-after-work	6
TOP.5fd0209e.00043f5b	SUB.5fd020a2.000537b3	STOP
TOP.5fd0209e.00043f5b	proc_start	1607475358
TOP.5fd0209e.00043f5b	proc_stop	1607475363
TOP.5fd0209e.00043f5b	STOP
TOP.5fd020b2.000bf4e3	START
TOP.5fd020b2.000bf4e3	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fd020b2.000bf4e3	folder_config->install_dir	.
TOP.5fd020b2.000bf4e3	folder_config->profile_dir	.
TOP.5fd020b2.000bf4e3	folder_config->session_dir	.
TOP.5fd020b2.000bf4e3	folder_config->shared_dir	.
TOP.5fd020b2.000bf4e3	user_options->separator	:
TOP.5fd020b2.000bf4e3	user_options->encoding_from	utf-8
TOP.5fd020b2.000bf4e3	user_options->encoding_to	utf-8
TOP.5fd020b2.000bf4e3	user_options->rule_buf_l	:
TOP.5fd020b2.000bf4e3	user_options->rule_buf_r	:
TOP.5fd020b2.000bf4e3	user_options->session	hashcat
TOP.5fd020b2.000bf4e3	user_options->limit	0
TOP.5fd020b2.000bf4e3	user_options->skip	0
TOP.5fd020b2.000bf4e3	user_options->attack_mode	3
TOP.5fd020b2.000bf4e3	user_options->benchmark	0
TOP.5fd020b2.000bf4e3	user_options->benchmark_all	0
TOP.5fd020b2.000bf4e3	user_options->bitmap_max	18
TOP.5fd020b2.000bf4e3	user_options->bitmap_min	16
TOP.5fd020b2.000bf4e3	user_options->debug_mode	0
TOP.5fd020b2.000bf4e3	user_options->example_hashes	0
TOP.5fd020b2.000bf4e3	user_options->force	0
TOP.5fd020b2.000bf4e3	user_options->hwmon_disable	0
TOP.5fd020b2.000bf4e3	user_options->hwmon_temp_abort	90
TOP.5fd020b2.000bf4e3	user_options->hash_mode	0
TOP.5fd020b2.000bf4e3	user_options->hex_charset	0
TOP.5fd020b2.000bf4e3	user_options->hex_salt	0
TOP.5fd020b2.000bf4e3	user_options->hex_wordlist	0
TOP.5fd020b2.000bf4e3	user_options->hook_threads	12
TOP.5fd020b2.000bf4e3	user_options->increment	0
TOP.5fd020b2.000bf4e3	user_options->increment_max	256
TOP.5fd020b2.000bf4e3	user_options->increment_min	1
TOP.5fd020b2.000bf4e3	user_options->keep_guessing	0
TOP.5fd020b2.000bf4e3	user_options->kernel_accel	0
TOP.5fd020b2.000bf4e3	user_options->kernel_loops	0
TOP.5fd020b2.000bf4e3	user_options->kernel_threads	0
TOP.5fd020b2.000bf4e3	user_options->keyspace	0
TOP.5fd020b2.000bf4e3	user_options->left	0
TOP.5fd020b2.000bf4e3	user_options->logfile_disable	0
TOP.5fd020b2.000bf4e3	user_options->loopback	0
TOP.5fd020b2.000bf4e3	user_options->machine_readable	0
TOP.5fd020b2.000bf4e3	user_options->markov_classic	0
TOP.5fd020b2.000bf4e3	user_options->markov_disable	0
TOP.5fd020b2.000bf4e3	user_options->markov_threshold	256
TOP.5fd020b2.000bf4e3	user_options->backend_info	0
TOP.5fd020b2.000bf4e3	user_options->backend_vector_width	0
TOP.5fd020b2.000bf4e3	user_options->optimized_kernel_enable	0
TOP.5fd020b2.000bf4e3	user_options->outfile_autohex	1
TOP.5fd020b2.000bf4e3	user_options->outfile_check_timer	5
TOP.5fd020b2.000bf4e3	user_options->outfile_format	3
TOP.5fd020b2.000bf4e3	user_options->wordlist_autohex_disable	0
TOP.5fd020b2.000bf4e3	user_options->potfile_disable	0
TOP.5fd020b2.000bf4e3	user_options->progress_only	0
TOP.5fd020b2.000bf4e3	user_options->quiet	0
TOP.5fd020b2.000bf4e3	user_options->remove	0
TOP.5fd020b2.000bf4e3	user_options->remove_timer	60
TOP.5fd020b2.000bf4e3	user_options->restore	0
TOP.5fd020b2.000bf4e3	user_options->restore_disable	0
TOP.5fd020b2.000bf4e3	user_options->restore_timer	60
TOP.5fd020b2.000bf4e3	user_options->rp_files_cnt	0
TOP.5fd020b2.000bf4e3	user_options->rp_gen	0
TOP.5fd020b2.000bf4e3	user_options->rp_gen_func_max	4
TOP.5fd020b2.000bf4e3	user_options->rp_gen_func_min	1
TOP.5fd020b2.000bf4e3	user_options->rp_gen_seed	0
TOP.5fd020b2.000bf4e3	user_options->runtime	0
TOP.5fd020b2.000bf4e3	user_options->scrypt_tmto	0
TOP.5fd020b2.000bf4e3	user_options->segment_size	33554432
TOP.5fd020b2.000bf4e3	user_options->self_test_disable	0
TOP.5fd020b2.000bf4e3	user_options->slow_candidates	0
TOP.5fd020b2.000bf4e3	user_options->show	0
TOP.5fd020b2.000bf4e3	user_options->speed_only	0
TOP.5fd020b2.000bf4e3	user_options->spin_damp	0
TOP.5fd020b2.000bf4e3	user_options->status	0
TOP.5fd020b2.000bf4e3	user_options->status_json	0
TOP.5fd020b2.000bf4e3	user_options->status_timer	10
TOP.5fd020b2.000bf4e3	user_options->stdout_flag	0
TOP.5fd020b2.000bf4e3	user_options->usage	0
TOP.5fd020b2.000bf4e3	user_options->username	0
TOP.5fd020b2.000bf4e3	user_options->veracrypt_pim_start	485
TOP.5fd020b2.000bf4e3	user_options->veracrypt_pim_stop	485
TOP.5fd020b2.000bf4e3	user_options->version	0
TOP.5fd020b2.000bf4e3	user_options->workload_profile	2
TOP.5fd020b2.000bf4e3	user_options->brain_client	0
TOP.5fd020b2.000bf4e3	user_options->brain_client_features	2
TOP.5fd020b2.000bf4e3	user_options->brain_server	0
TOP.5fd020b2.000bf4e3	user_options->brain_server_timer	300
TOP.5fd020b2.000bf4e3	user_options->brain_port	6863
TOP.5fd020b2.000bf4e3	user_options->brain_session	0
TOP.5fd020b2.000bf4e3	proc_start	1607475378
TOP.5fd020b2.000bf4e3	proc_stop	1607475378
TOP.5fd020b2.000bf4e3	STOP
TOP.5fd020e7.000032be	START
TOP.5fd020e7.000032be	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fd020e7.000032be	folder_config->install_dir	.
TOP.5fd020e7.000032be	folder_config->profile_dir	.
TOP.5fd020e7.000032be	folder_config->session_dir	.
TOP.5fd020e7.000032be	folder_config->shared_dir	.
TOP.5fd020e7.000032be	user_options->separator	:
TOP.5fd020e7.000032be	user_options->encoding_from	utf-8
TOP.5fd020e7.000032be	user_options->encoding_to	utf-8
TOP.5fd020e7.000032be	user_options->rule_buf_l	:
TOP.5fd020e7.000032be	user_options->rule_buf_r	:
TOP.5fd020e7.000032be	user_options->session	hashcat
TOP.5fd020e7.000032be	user_options->limit	0
